"metric","w_shade","p_shade","w_deep","p_deep","w","p.x","R2","p.y"
"AFDW.mg.cm2",354,0.0989280224636855,124,0.000469907907961267,665,0.995597314889902,0.00458349117016815,0.577614995303156
"calice_density",2063,0.602285121102127,2496,0.148451922675461,4817,0.852298137346053,0.0219392285329424,0.0414031795271999
"chla.ug.cm2",3177,1.88281127681674e-06,3873,3.36425754919833e-18,3578,0.00218583367313316,0.722370170849883,1.73953870453297e-54
"cre.umol.mgprot",1586,0.181281295177445,1959,0.00759038307601434,3416,0.51854714158253,0.000174270189149392,0.871339654372741
"lipids.mg.cm2",283,0.889929660866525,216,0.205216018971403,725,0.277000959969072,0.0237207463027859,0.20984389478068
"log_chl_sym",1575,0.14511697074946,1572,0.140921934459297,6282,9.70604440662176e-09,0.199727431153814,2.02649262842332e-10
"prot_mg.cm2",2365,0.591763834645263,575,3.02285478304566e-13,4602,0.346247938642339,0.0409595661533422,0.00487461730992444
"sumV_h",40,0.742986425339367,47,0.904825824330468,77,0.518594995587861,0.010945598532085,0.611012496867077
"sumV_s",34,0.888358700123406,21,0.101101512866219,120,0.169385541147555,0.340313258428094,0.00175925261758855
"sym.cm2",2896,7.7463462329289e-06,3596,2.98619615915513e-15,2462,2.56471896720181e-08,1,0
"tp_h",49,0.489428218839983,33,0.356232003290827,128,0.178112452201832,0.117367395744,0.0802407808687227
"tp_s",30,0.918181818181818,30,0.669066227889757,62,0.264211103205584,0.0185730160467019,0.515970094961976
